ts,close_y,close_x,spread,zscore,return_y,log_return_y,roll_mean_20,roll_std_20,volatility_20,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,bb_upper,bb_lower,bb_width,rsi_14,macd,macd_signal,macd_hist,vwap,volume,vol_zscore,lag_ret_1,lag_spread_1,lag_zscore_1,lag_ret_2,lag_spread_2,lag_zscore_2,lag_ret_3,lag_spread_3,lag_zscore_3,future_ret_1,future_ret_3,future_ret_10,label_long,label_short,label_neutral
2025-12-08 07:45:29,91568.62,,,,,,,,,,91568.62,,91568.62,,91568.62,,91568.62,,,,,0.0,0.0,0.0,,,,,,,,,,,,,-0.00022387582121474736,7.635329664368307e-05,-5.297839628393142e-05,0,0,0
2025-12-08 07:45:30,91548.12,,,,-0.00022387582121474736,-0.00022390088514789852,,,,,91564.89272727272,,91566.66761904761,,91567.81607843137,,91568.21405940593,,,,,-1.63532763531839,-0.32706552706367803,-1.3082621082547121,,,,,,,,,,,,,-1.092321720852496e-07,0.0,1.0923959425923613e-07,0,0,0
2025-12-08 07:45:31,91548.11,,,,-1.092321720852496e-07,-1.0923217708125321e-07,,,,,91561.84132231404,,91564.90022675737,,91567.0432910419,,91567.81595921968,,,,,-2.8987287440832006,-0.8413981704675826,-2.057330573615618,,,,-0.00022387582121474736,,,,,,,,,7.635329664368307e-05,1.0922384441336419e-07,-1.0923958226882746e-07,0,0,0
2025-12-08 07:45:32,91555.1,,,,7.635329664368307e-05,7.635038187814303e-05,,,,,91560.61562734784,,91563.96687182809,,91566.57492668732,,91567.56415804701,,,,,-3.2979321341990726,-1.3327049632138808,-1.9652271709851918,,,,-1.092321720852496e-07,,,-0.00022387582121474736,,,,,,0.0,-1.0922383242295552e-07,0.0,0,0,0
2025-12-08 07:45:33,91555.1,,,,0.0,0.0,,,,,91559.61278601187,,91563.12240784446,,91566.12492956233,,91567.31734303618,,,,,-3.5731150508509018,-1.780786980741285,-1.7923280701096167,,,,7.635329664368307e-05,,,-1.092321720852496e-07,,,-0.00022387582121474736,,,1.0922384441336419e-07,0.0,1.0923959425923613e-07,0,0,0
2025-12-08 07:45:36,91555.11,,,,1.0922384441336419e-07,1.0922383886224907e-07,,,,,91558.79409764607,,91562.35932138309,,91565.69297154028,,91567.0756134711,,,,,-3.7471972214407288,-2.1740690288811737,-1.573128192559555,,,,0.0,,,7.635329664368307e-05,,,-1.092321720852496e-07,,,-1.0922383242295552e-07,1.0922384441336419e-07,0.0,0,0,0
2025-12-08 07:45:37,91555.1,,,,-1.0922383242295552e-07,-1.0922383886224907e-07,,,,,91558.1224435286,,91561.66795744184,,91565.27756089164,,91566.83847261028,,,,,-3.8416810049966443,-2.507591424104268,-1.3340895808923765,,,,1.0922384441336419e-07,,,0.0,,,7.635329664368307e-05,,,0.0,-9.131112397764429e-05,-1.0923958226882746e-07,0,0,0
2025-12-08 07:45:38,91555.1,,,,0.0,0.0,,,,,91557.57290834158,,91561.04243768548,,91564.87844085667,,91566.6060276081,,,,,-3.871926920823171,-2.780458523448049,-1.091468397375122,,,,-1.0922383242295552e-07,,,1.0922384441336419e-07,,,0.0,,,1.0922384441336419e-07,-5.297839628393142e-05,0.0,0,0,0
2025-12-08 07:45:39,91555.11,,,,1.0922384441336419e-07,1.0922383886224907e-07,,,,,91557.12510682493,,91560.4774436202,,91564.49536474465,,91566.37838349704,,,,,-3.850701619303436,-2.9945071426191263,-0.8561944766843097,,,,0.0,,,-1.0922383242295552e-07,,,1.0922384441336419e-07,,,-9.131112397764429e-05,1.0923959425923613e-07,0.0,0,0,0
2025-12-08 07:45:40,91546.75,,,,-9.131112397764429e-05,-9.131529309236441e-05,,,,91554.222,91555.23872376584,,91559.17006803732,,91563.79946808801,,91565.9897026357,,,,,-4.457084056935855,-3.287022525482472,-1.170061531453383,,,,1.0922384441336419e-07,,,0.0,,,-1.0922383242295552e-07,,,-5.297839628393142e-05,-1.0923958226882746e-07,0.0,0,0,0
